Keyboard Config|键盘设置
Yellow Crystal|黄色水晶
Green Crystal|绿色水晶
Book of KATANA4|四天之书【肆】
Black-gold stone|黑金宝石
Fragments of Orb [Red]|宝珠碎片【红】
Fragments of Orb [Blue]|宝珠碎片【蓝】
Fragments of Orb [Yellow]|宝珠碎片【黄】
Fragments of Orb [Green]|宝珠碎片【绿】
Saber|光剑
Brand|强化光剑
Buster|烙印光剑
Pallasch|荣耀光剑
Gladius|决斗光剑
DB'S SABER|ＤＢ之剑
KALADBOLG|冰之剑
DURANDAL|骑士之剑
Sword|大剑
Gigush|宽刃大剑
Breaker|双刃大剑
Claymore|利刃大剑
Calibur|勇者大剑
FLOWEN'S SWORD|弗罗文大剑
LAST SURVIVOR|最后的生还者
DRAGON SLAYER|斩龙剑
Dagger|匕首
Knife|锋利匕首
Blade|突刺匕首
Edge|弧光匕首
Ripper|暗杀匕首
BLADE DANCE|剑之舞
BLOODY ART|血之艺
CROSS SCAR|十字疤
Partisan|长刀
Halbert|护卫长刀
Glaive|骑士长刀
Berdys|将军长刀
Gungnir|战神长刀
BRIONAC|纯正长刀
VJAYA|富豪长刀
GAE BOLG|战斗长刀
Slicer|投刃
Spinner|弹射投刃
Cutter|回旋投刃
Sawcer|飞碟投刃
Diska|彗星投刃
SLICER OF ASSASSIN|暗杀者的投刃
DISKA OF LIBERATOR|解放者的飞碟
DISKA OF BRAVEMAN|勇者的飞碟
Handgun|光枪
Autogun|智能光枪
Lockgun|放射光枪
Railgun|磁电光枪
Raygun|原子光枪
VARISTA|麻醉枪
CUSTOM RAY ver.OO|军用光枪ver.
BRAVACE|军用电击枪
Mechgun|机枪
Assault|扫射机枪
Repeater|高射机枪
Gatling|格林机枪
Vulcan|音速机枪
M&A60 VISE|Ｍ＆Ａ６０老虎钳
H&S25 JUSTICE|Ｈ＆Ｓ２５正义制裁
L&K14 COMBAT|Ｌ＆Ｋ１４战场之狼
Shot|散弹枪
Spread|重型散弹枪
Cannon|加农散弹枪
Launcher|强袭散弹枪
Arms|军用散弹枪
CRUSH BULLET|碎弹枪
METEOR SMASH|陨石枪
FINAL IMPACT|最后的冲击
Rifle|步枪
Sniper|突击步枪
Blaster|狙击步枪
Beam|激光步枪
Laser|脉冲步枪
VISK-235W|威斯克－２３５Ｗ
WALS-MK2|瓦尔斯－ＭＫ２
JUSTY-23ST|伽斯帝－２３ＳＴ
Cane|手杖
Stick|球杖
Mace|法杖
Club|权杖
CLUB OF LACONIUM|拉克尼姆金属杖
MACE OF ADAMAN|金刚石杖
CLUB OF ZUMIURAN|业障石杖
Rod|长杖
Pole|法师长杖
Pillar|祭司长杖
Striker|贤者长杖
BATTLE VERGE|战斗杖
BRAVE HAMMER|勇者之锤
ALIVE AQHU|生命壶
Wand|魔杖
Staff|魔导杖
Baton|魔击杖
Scepter|魔息杖
FIRE SCEPTER:AGNI|炎杖「阿耆尼」
ICE STAFF:DAGON|冰杖「达冈」
STORM WAND:INDRA|雷杖「因陀罗」
PHOTON CLAW|光子爪
SILENCE CLAW|沉默爪
NEI'S CLAW (Replica)|妮之爪
DOUBLE SABER|双头剑
STAG CUTLERY|雄风之剑
TWIN BRAND|双烙印
BRAVE KNUCKLE|勇者之拳
ANGRY FIST|愤怒之拳
GOD HAND|上帝之手
SONIC KNUCKLE|索尼克拳套
OROTIAGITO|大蛇腭
AGITO|腭刀「１９７５」
SANGE|散华
YASHA|夜叉
KAMUI|神威
SOUL EATER|噬魂者
SOUL BANISH|诫魂者
SPREAD NEEDLE|魔弹弓
HOLY RAY|圣光枪
INFERNO BAZOOKA|地狱火箭炮
FLAME VISIT|火焰喷射器
AKIKO'S FRYING PAN|秋子婶婶的平底锅
SORCERER'S CANE|混沌法师之杖
S-BEAT'S BLADE|蓝色机甲忍者双刃
P-ARMS'S BLADE|合体怪双刃
DELSABER'S BUSTER|剑魔之剑
BRINGER'S RIFLE|混沌骑士枪
EGG BLASTER|爆蛋枪
VICTOR AXE|胜利者之斧
CHAIN SAWD|电锯
CADUCEUS|羽毛杖
STING TIP|蜂尾杖
MAGICAL PIECE|心心杖
TECHNICAL CROZIER|异能魔杖
PSYCHO WAND|圣杖「意念」
HEAVEN PUNISHER|圣枪「天罚」
LAVIS CANNON|圣剑「拉维斯·迦农」
SUPPRESSED GUN|消音枪
ANCIENT SABER|古代剑
HARISEN BATTLE FAN|纸扇
YAMIGARASU|妖刀·暗鸦
AKIKO'S WOK|秋子婶婶的中华锅
TOY HAMMER|玩具锤
ELYSION|魔法剑
RED SABER|红色光剑
METEOR CUDGEL|流星棍
MONKEY KING BAR|如意金箍棒
DOUBLE CANNON|圣剑「双切·迦农」
HUGE BATTLE FAN|艺之道
TSUMIKIRI J-SWORD|罪切
SEALED J-SWORD|封印野太刀
RED SWORD|红色大剑
CRAZY TUNE|疯狂旋律
TWIN CHAKRAM|回旋双光轮
WOK OF AKIKO'S SHOP|秋子饭店的中华锅
LAVIS BLADE|圣剑「双刃·拉维斯」
RED DAGGER|红色双刃
MADAM'S PARASOL|女士阳伞
MADAM'S UMBRELLA|女士雨伞
IMPERIAL PICK|皇家之戟
BERDYSH|破坏者之斧
RED PARTISAN|红色长刀
FLIGHT CUTTER|手里剑
FLIGHT FAN|扇舞
RED SLICER|红色投刃
HANDGUN:GULD|小枪「伽尔德」
HANDGUN:MILLA|小枪「米拉」
RED HANDGUN|红色手枪
FROZEN SHOOTER|冷射枪
ANTI ANDROID RIFLE|对机器人专用来复枪
ROCKET PUNCH|火箭铁拳
SAMBA MARACAS|桑巴沙锤
TWIN PSYCHOGUN|意念双枪
DRILL LAUNCHER|钻头火箭炮
GULD MILLA|伽尔德·米拉
RED MECHGUN|红色机枪
BELRA CANNON|巨神像加农炮
PANZER FAUST|导向穿甲弹
SUMMIT MOON|辉月之杖
WINDMILL|风车杖
EVIL CURST|恶魔之眼
FLOWER CANE|花杖
HILDEBEAR'S CANE|狂暴巨猿头杖
HILDEBLUE'S CANE|狂暴白猿头杖
RABBIT WAND|兔子杖
PLANTAIN LEAF|大叶子
DEMONIC FORK|恶魔之叉
STRIKER OF CHAO|查欧杖
BROOM|扫帚
PROPHETS OF MOTAV|魔法预言书
THE SIGH OF A GOD|神之吐息
TWINKLE STAR|星星杖
PLANTAIN FAN|魔蕉扇
TWIN BLAZE|火流星
MARINA'S BAG|玛丽娜的急救包
PANTHER'S CLAW|猫爪
S-RED'S BLADE|红忍双刃
PLANTAIN HUGE FAN|芭蕉扇
CHAMELEON SCYTHE|变色龙之杖
YASMINKOV 3000R|雅斯米诺科夫３０００Ｒ
ANO RIFLE|阿诺来复枪
BARANZ LAUNCHER|机甲堡垒导弹枪
BRANCH OF PAKUPAKU|夹夹杖
HEART OF POUMN|幻爪「波姆之心」
YASMINKOV 2000H|雅斯米诺科夫２０００Ｈ
YASMINKOV 7000V|雅斯米诺科夫７０００Ｖ
YASMINKOV 9000M|雅斯米诺科夫９０００Ｍ
MASER BEAM|雷光炮
GAME MAGAZNE|ＦＡＭＩ通
GUN|GUN
TWIN|TWIN
SPECIAL WEAPON|特殊武器
BAZOOKA|BAZOOKA
NEEDLE|NEEDLE
SCYTHE|SCYTHE
HAMMER|HAMMER
MOON|MOON
PSYCHOGUN|PSYCHOGUN
PUNCH|PUNCH
HARISEN|HARISEN
KATANA|KATANA
J-CUTTER|J-CUTTER
MUSASHI|武藏
YAMATO|大和
ASUKA|飞鸟
PHOTON LAUNCHER|光子发射器
GUILTY LIGHT|罪恶之光
RED SCORPIO|红蝎子
TALIS|咒卡
MAHU|咒符
HITOGATA|式神
NUG2000-BAZOOKA|NUG-导弹发射器
S-BERILL'S HANDS #0|森隐雷藏拳套０型
GI GUE BAZOOKA|姬蜂后火箭炮
GUARDIANNA|守护之扇
VIRIDIA CARD|铬绿卡片
GREENILL CARD|翠绿卡片
SKYLY CARD|天青卡片
BLUEFULL CARD|纯蓝卡片
PURPLENUM CARD|淡紫卡片
PINKAL CARD|粉红卡片
REDRIA CARD|真红卡片
ORAN CARD|橙黄卡片
YELLOWBOZE CARD|金黄卡片
WHITILL CARD|羽白卡片
BLACK KING BAR|苍黑如意棒
FATSIA|巨芋叶
SANGE & YASHA|散华夜叉
DANCING HITOGATA|式神「瑚式」
S-BERILL'S HANDS #1|森隐雷藏拳套１型
MORNING GLORY|晨曦之荣光
PARTISAN of LIGHTNING|迅雷
GAL WIND|加尔之风
ZANBA|斩马刀
RIKA'S CLAW|里卡之爪
ANGEL HARP|天使之琴
DEMOLITION COMET|破坏彗星
NEI'S CLAW|真·妮之爪
RAINBOW BATON|彩虹旋刃
DARK FLOW|暗黑弗罗文大剑
DARK METEOR|暗黑陨石枪
DARK BRIDGE|暗黑使者杖
G-ASSASSIN'S SABERS|巨螳螂双刀
RAPPY'S FAN|拉比羽扇
BOOMA'S CLAW|棕狂熊之爪
GOBOOMA'S CLAW|黄狂熊之爪
GIGOBOOMA'S CLAW|红狂熊之爪
RUBY BULLET|宝石枪
AMORE ROSE|玫瑰之恋
POWER MASER|强化雷光炮
BURNING VISIT|强化火焰喷射器
SNOW QUEEN|冰雪女皇
IRON FAUST|强化导向穿甲弹
SWORDS|SWORDS
CARDS|CARDS
KNUCKLE|KNUCKLE
AXE|AXE
SLICER OF FANATIC|狂信者的投刃
LAME D'ARGENT|银月之剑
EXCALIBUR|石中剑
RAGE DE FEU|妖精之怒
DAISY CHAIN|雏菊之剑
OPHELIE SEIZE|圣枪「神罚」
MILLE MARTEAUX|天国呼啸
LE COGNEUR|雷奥尼亚
COMMANDER BLADE|统帅指挥刀
VIVIENNE|维维安双刃
KUSANAGI|草薙
SACRED DUSTER|神圣粉碎者
GUREN|红莲
SHOUREN|青莲
JIZAI|自在
FLAMBERGE|波纹剑
YUNCHANG|云长
SNAKE SPIRE|蛇矛
FLAPJACK FLAPPER|红粉少女
GETSUGASAN|月牙铲
MAGUWA|神冰铁
HEAVEN STRIKER|天堂冲击
CANNON ROUGE|赤红加农
METEOR ROUGE|赤红陨石
SOLFERINO|烈阳光子杖
CLIO|史神克莱奥之杖
SIREN GLASS HAMMER|绿宝石之杖
GLIDE DIVINE|逝神
SHICHISHITO|七支刀
MURASAME|村雨
DAYLIGHT SCAR|晓之刻印
DECALOG|十戒石板
5TH ANNIV. BLADE|ＰＳＯ五周年纪念感恩刀
TYRELL'S PARASOL|总督赠送的遮阳伞
AKIKO'S CLEAVER|秋子婶婶的菜刀
TANEGASHIMA|种子岛
TREE CLIPPERS|园艺修剪器
NICE SHOT|高尔夫球棍
ULTIMATE DOUBLE CANNON|圣剑「终极·迦农」
Placeholder Weapon|占位用武器
ANO BAZOOKA|阿诺火箭炮
SYNTHESIZER|冷酷音符
BAMBOO SPEAR|竹枪
KAN'EI TSUHO|宽永通宝
JITTE|十手
BUTTERFLY NET|捕虫网
SYRINGE|注射器
BATTLEDORE|羽子板
RACKET|球拍
GREAT BOUQUET|华丽花束
MERCURIUS ROD|大天使之杖
RAMBLING MAY|漫步少女
GALATINE|太阳之剑
ZERO DIVIDE|零度切刃
MASTER RAVEN|黑鸟
LAST SWAN|白鸟
DUAL BIRD|双鸟
ASTERON BELT|十文字枪
PHOENIX CLAW|灼炎凤牙
GIRASOLE|向日葵
RIANOV 303SNR|莱阿诺夫３０３ＳＮＲ
RIANOV 303SNR-1|莱阿诺夫３０３ＳＮＲ－１
RIANOV 303SNR-2|莱阿诺夫３０３ＳＮＲ－２
RIANOV 303SNR-3|莱阿诺夫３０３ＳＮＲ－３
RIANOV 303SNR-4|莱阿诺夫３０３ＳＮＲ－４
RIANOV 303SNR-5|莱阿诺夫３０３ＳＮＲ－５
L&K38 COMBAT|Ｌ＆Ｋ３８ 战场之狼
PHONON MASER|光子微波激射器
LACONIUM AXE|拉克尼姆战斧
EARTH WAND BROWNIE|土杖「布拉乌尼」
IZMAELA|依兹玛艾拉
KUNAI|飞镖
TENSION BLASTER|舞拉拉压力波动枪
LOLLIPOP|棒棒糖
RAIKIRI|雷切
Star Eulogy|星哀悼词
LOGiN|ＬＯＧｉＮ
TWO KAMUI|二连神威
VALKYRIE|瓦尔基里
TypeSA/SABER|TypeSA/SABER
TypeSL/SABER|TypeN-SL/SABER
TypeSL/SLICER|TypeN-SL/SLICER
TypeSL/CLAW|TypeN-SL/CLAW
TypeSL/KATANA|TypeN-SL/J-SWORD
TypeJS/SABER|TypeJS/SABER
TypeJS/SLICER|TypeJS/SLICER
TypeJS/J-SWORD|TypeJS/J-SWORD
TypeSW/SWORD|TypeSW/SWORD
TypeSW/SLICER|TypeSW/SLICER
TypeSW/J-SWORD|TypeSW/J-SWORD
TypeRO/SWORD|TypeRO/SWORD
TypeRO/HALBERT|TypeRO/HALBERT
TypeRO/ROD|TypeRO/ROD
TypeBL/BLADE|TypeBL/BLADE
TypeKN/BLADE|TypeKN/BLADE
TypeKN/CLAW|TypeKN/CLAW
TypeHA/HALBERT|TypeHA/HALBERT
TypeHA/ROD|TypeHA/ROD
TypeDS/D.SABER|TypeDS/D.SABER
TypeDS/ROD|TypeDS/ROD
TypeDS|TypeDS/WAND
TypeCL/CLAW|TypeCL/CLAW
TypeSS/SW|TypeSS/SWORDS
TypeGU/HAND|TypeGU/HANDGUN
TypeGU/MECHGUN|TypeGU/MECHGUN
TypeRI/RIFLE|TypeRI/RIFLE
TypeME/MECHGUN|TypeME/MECHGUN
TypeSH/SHOT|TypeSH/SHOT
TypeWA/WAND|TypeWA/WAND
GUSH NEEDLE|嗜血弹弓
HELL NEEDLE|地狱弹弓
ARREST NEEDLE|麻痹弹弓
DESERT EAGLE|沙漠之鹰
INFERNO BLADE|炼狱之刃
SUBZERO|绝对零度
ZU'S PUNISHMENT|赤羽火刑杖
GLIDE DIVINE S|逝神Ｓ
MYSTIC SPIRIT|幻灵双枪
ALPHA EAGLE|阿尔法之鹰
NIGHTMARE|妖刀·梦魇
DARK FALZ BUSTER|暗黑佛双刃
TORMENTOR|酷刑枪
EXTERMINATOR|血祭枪
DRAGON SWORD|龙剑
Placeholder Mechgun 2|占位双枪２
FROSTBITE|冷狱枪
HELL STRIKER|地狱冲击
DEATH CANNON|死亡金弹
TWIN PALLASCH|双荣耀光剑
PLANET EATER|噬星者
GRAVE DIGGER|埋骨弹弓
MITSUNARI|妖刀·断罪
TIGER'S FANG & DRAGON'S CLAW|龙爪虎牙
KITETSU|妖刀·鬼彻
AENSLAND|安斯兰德
BOONDOCK SAINTS|处刑人
DEATH REAPER|斩魂者
GLIDE DIVINE X|逝神Ｘ
FINAL EGG BLASTER|终极爆弹枪
PASSION HAZE|情热香氛
ARMAGEDDON|末日决战
COMBUSTION CANNON|燃血炮
CLAW OF ELEMENTS|元素爪
ASTRAL CLAW|星界爪
SKYFALL|圣降
JUDGEMENT BLADE|审判之刃
OBLIVION|湮灭重锤
SWORD OF DESPAIR|绝望之剑
SOUL BITER|啮魂者
PHANTOM RAVEN|幻鸟
Placeholder Rifle|占位步枪
M&A85 FURY|Ｍ＆Ａ８５　战场之怒
HELLION SWORD|地狱之剑
TWIN GLADIUS|双决斗光剑
DIVINE BLADE|神圣双刃
Placeholder Twin Sword 2|占位大剑２
TWIN CYCLONE|冰雾双旋
DARK MAY|暗黑五月
SECRET J-SWORD|隐切
SOUL EDGE|断魂者
SOUL EDGE PHANTOM|断魂者·幻影
CHRISTMAS SPIRIT|圣夜灵踪
ETERNAL NIGHT|永夜
LEGENDARY PRINCESS|传奇公主
WOOF!|ＷＯＯＦ！
WRATH OF GOLD|黄金之怒
S.T.A.R.S. METEOR|星辰流星
LION HEARTS|狮之心
AKANTOR SHADOW CLAWS|霸锐爪
DEMON'S NEEDLE|恶魔弹弓
TASTE OF AFFECTION|倾心爱意
CELESTIAL FUSION|天国恋歌
BUBBLE BLASTER|泡泡枪
ICECREAM CONE|冰激凌甜筒
STORMRENDER|风暴撕裂者
MORTAL RUIN|凡尘毁灭
LAST EMPEROR|最后的统治者
ARCTIC FAUST|极地穿甲弹
placeholder iron faust|占位铁浮士德
3RD ANNIVERSARY BLADE|三周年纪念刀
BANRYŪ|蛮龙
SWEET MUSIC|甜美音乐
BLACK FLOW|冥黑佛洛文大剑
placeholder DF|占位DF
ANCIENT PROPHECY|远古预言
INFINITY ORBIT|无限轨道
LAVIS STORM|拉维斯风暴
DOUBLE FURY|双重狂怒
RATHALOS GREATSWORD|火龙大剑
TERROR SAWD|恐怖夺魂剑
APOCALYPSE BOWGUN|末日弩
placeholder shot|占位步枪
D-VIRUS LAUNCHER|Ｄ因子发射器
ACT OF WAR|火线交锋
Placeholder Mech Shot|占位双枪
GRANDE MARACAS|大沙锤
SOUL DEVOURER|食魂者
placeholder cutter|占位cutter
placeholder slicer|占位slicer
ILL GILL REAPER|恶镰死神的镰刀
Placeholder partisan|占位partisan
TWIN EXECUTIONER|双重刽子手
ASTRAL DRAGON|星界龙
NEFARIOUS NEEDLE|邪恶弹弓
VENUS BOW|维纳斯弹弓
BERSERK NEEDLE|削血弹弓
placeholder needle|占位needle
TWIN RIKA'S CLAW|双里卡之爪
placeholder dagger|占位dagger
placeholder super katana|占位superkatana
GLIDE DIVINE Y|逝神Ｙ
GLIDE DIVINE Z|逝神Ｚ
ASTRAL SABER|星界剑
ASTRAL BLADE|星界刃
Draw|吸血
Drain|饮血
Fill|噬血
Gush|嗜血
Heart|心之
Mind|智之
Soul|魂之
Geist|魄之
Master's|将之
Lord's|相之
King's|王之
Charge|销金
Spirit|销魂
Berserk|销血
Ice|冰晶
Frost|冰霜
Freeze|冰冻
Blizzard|冰暴
Bind|小麻痹
Seize|强麻痹
Arrest|全麻痹
Heat|高热
Fire|火热
Flame|灼热
Burning|炽热
Shock|雷鸣
Thunder|雷击
Storm|雷暴
Tempest|雷霆
Dim|暗淡
Shadow|暗影
Dark|暗黑
Hell|地狱
Panic|混乱
Riot|暴动
Havoc|浩劫
Chaos|混沌
Devil's|魔鬼
Demon's|恶魔
????|？？？？
Frame|铠甲
Armor|装甲
Psy Armor|经济装甲
Giga Frame|轻便铠甲
Soul Frame|魂之铠甲
Cross Armor|十字装甲
Solid Frame|坚固铠甲
Brave Armor|勇者装甲
Hyper Frame|高级铠甲
Grand Armor|豪华装甲
Shock Frame|富丽铠甲
